sample_id,subject_folder,class_code,class_name,PCo1,PCo2,oof_predicted_class_code,oof_correct
processed/衰老/31,31,1,衰老,-0.3087705347869224,-0.32276289436280003,0,False
processed/衰老/32,32,1,衰老,-0.5164964585816426,-0.04175390257397829,1,True
processed/衰老/33,33,1,衰老,-0.5870483263123845,0.0005152186993717597,1,True
processed/衰老/34,34,1,衰老,-0.6104047047474844,0.007620458433166193,1,True
processed/衰老/35,35,1,衰老,-0.6086305086525313,0.0052356270278846,1,True
processed/衰老/36,36,1,衰老,-0.6049902387641697,0.021632599516516204,1,True
processed/衰老/37,37,1,衰老,-0.59418182342473,0.014517047202431788,1,True
processed/衰老/38,38,1,衰老,-0.5572693047151621,0.07040919981644109,1,True
processed/衰老/4,4,1,衰老,-0.604770138755222,0.008238274388494855,1,True
processed/衰老/5,5,1,衰老,-0.6110986707971999,0.0024280325782712435,1,True
processed/衰老/6,6,1,衰老,-0.6074362054016125,-0.0027141653993913648,1,True
processed/衰老/7,7,1,衰老,-0.5772409535855457,0.030997975089128205,1,True
processed/衰老/8,8,1,衰老,-0.6039240794928136,0.053227863421844344,1,True
processed/衰老/9,9,1,衰老,-0.6015686689868645,0.03820806978521739,1,True
